,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
158,NH,,6,16,17,680027.8416159999,7642114.5862
159,NH,,383,16,18,680027.8416159999,7642114.5862
160,NH,,44,17,19,680027.8416159999,7642114.5862
161,NH,,34,17,20,680027.8416159999,7642114.5862
162,NH,,116,17,21,680027.8416159999,7642114.5862
163,NH,,238,18,20,680027.8416159999,7642114.5862
164,NH,,60,18,21,680027.8416159999,7642114.5862
165,OND,,146,10,11,679594.3165930001,7642530.21924
166,OND,,152,12,13,679594.3165930001,7642530.21924
167,OND,,154,14,15,679594.3165930001,7642530.21924
168,OND,,6,16,17,679594.3165930001,7642530.21924
169,OND,,73,16,18,679594.3165930001,7642530.21924
170,OND,,40,18,20,679594.3165930001,7642530.21924
171,PKM,,9,9,9,680835.377374,7642071.12622
172,PKM,,190,10,11,680835.377374,7642071.12622
173,PKM,,153,12,13,680835.377374,7642071.12622
174,PKM,,138,14,15,680835.377374,7642071.12622
175,PKM,,9,16,17,680835.377374,7642071.12622
176,PKM,,46,16,18,680835.377374,7642071.12622
177,PKM,,43,17,19,680835.377374,7642071.12622
178,PKM,,54,17,21,680835.377374,7642071.12622
179,PNT,,26,8,9,679345.2322569999,7642439.43789
180,PNT,,89,10,11,679345.2322569999,7642439.43789
181,PNT,,140,12,13,679345.2322569999,7642439.43789
182,PNT,,133,14,15,679345.2322569999,7642439.43789
183,PNT,,59,16,18,679345.2322569999,7642439.43789
184,PNT,,23,18,20,679345.2322569999,7642439.43789
185,PNT,,34,18,21,679345.2322569999,7642439.43789
186,SB1,,139,10,11,680960.596738,7641768.74235
187,SB1,,12,10,12,680960.596738,7641768.74235
188,SB1,,20,10,13,680960.596738,7641768.74235
189,SB1,,50,12,13,680960.596738,7641768.74235
190,SB1,,116,14,15,680960.596738,7641768.74235
191,SB1,,25,14,16,680960.596738,7641768.74235
192,SB1,,84,16,18,680960.596738,7641768.74235
193,SEC,,26,10,11,678762.0050939999,7642562.06508
194,SEC,,12,10,12,678762.0050939999,7642562.06508
195,SEC,,6,12,13,678762.0050939999,7642562.06508
196,SEH,,83,10,11,680669.6716560001,7641270.5697800005
197,SEH,,56,12,13,680669.6716560001,7641270.5697800005
198,SEH,,56,14,15,680669.6716560001,7641270.5697800005
199,SEH,,46,16,18,680669.6716560001,7641270.5697800005
200,SEH,,14,17,18,680669.6716560001,7641270.5697800005
201,SH,,48,9,11,679795.846701,7642013.91022
202,SH,,145,10,11,679795.846701,7642013.91022
203,SH,,201,12,13,679795.846701,7642013.91022
204,SH,,17,12,14,679795.846701,7642013.91022
205,SH,,16,13,16,679795.846701,7642013.91022
206,SH,,167,14,15,679795.846701,7642013.91022
207,SH,,12,14,16,679795.846701,7642013.91022
208,SH,,17,15,17,679795.846701,7642013.91022
209,SH,,14,16,18,679795.846701,7642013.91022
210,SH,,58,17,18,679795.846701,7642013.91022
211,SH,,11,18,20,679795.846701,7642013.91022
212,SH,,27,18,21,679795.846701,7642013.91022
213,SRTC,,51,8,9,680741.5574630001,7641704.5849399995
214,SRTC,,5,8,11,680741.5574630001,7641704.5849399995
215,SRTC,,18,9,9,680741.5574630001,7641704.5849399995
216,SRTC,,55,9,11,680741.5574630001,7641704.5849399995
217,SRTC,,249,10,11,680741.5574630001,7641704.5849399995
218,SRTC,,17,11,14,680741.5574630001,7641704.5849399995
219,SRTC,,192,12,13,680741.5574630001,7641704.5849399995
220,SRTC,,25,12,14,680741.5574630001,7641704.5849399995
221,SRTC,,22,13,15,680741.5574630001,7641704.5849399995
222,SRTC,,29,13,16,680741.5574630001,7641704.5849399995
223,SRTC,,297,14,15,680741.5574630001,7641704.5849399995
224,SRTC,,28,14,16,680741.5574630001,7641704.5849399995
225,SRTC,,13,14,17,680741.5574630001,7641704.5849399995
226,SRTC,,25,15,17,680741.5574630001,7641704.5849399995
227,SRTC,,89,16,17,680741.5574630001,7641704.5849399995
228,SRTC,,64,16,18,680741.5574630001,7641704.5849399995
229,SRTC,,17,17,18,680741.5574630001,7641704.5849399995
230,SRTC,,98,17,21,680741.5574630001,7641704.5849399995
231,SRTC,,9,18,20,680741.5574630001,7641704.5849399995
232,SRTC,,22,18,21,680741.5574630001,7641704.5849399995
233,UCB,,25,10,11,680315.189161,7642847.982360001
234,URBN,,44,8,9,680315.189161,7642847.982360001
235,URBN,,147,10,11,680315.189161,7642847.982360001
236,URBN,,36,10,13,680315.189161,7642847.982360001
237,URBN,,157,12,13,680315.189161,7642847.982360001
238,URBN,,160,14,15,680315.189161,7642847.982360001
239,URBN,,55,16,18,680315.189161,7642847.982360001
240,URBN,,24,17,20,680315.189161,7642847.982360001
241,URBN,,66,17,21,680315.189161,7642847.982360001
242,UTS,,69,8,9,678770.333626,7642673.465030001
243,UTS,,30,9,11,678770.333626,7642673.465030001
244,UTS,,338,10,11,678770.333626,7642673.465030001
245,UTS,,255,12,13,678770.333626,7642673.465030001
246,UTS,,289,14,15,678770.333626,7642673.465030001
247,UTS,,181,16,18,678770.333626,7642673.465030001
248,UTS,,30,17,20,678770.333626,7642673.465030001
249,UTS,,211,17,21,678770.333626,7642673.465030001
250,UTS,,14,18,20,678770.333626,7642673.465030001
