,Building,Class,Actual_Enrl,Day_start_M,Day_end_M,Latitude,Longitude
1470,EB,CE 434,47,2016-09-26 18:40:00,2016-09-26 20:30:00,679227.356364,7643015.9597
1481,EB,CE 361L,15,2016-09-26 10:00:00,2016-09-26 11:50:00,679227.356364,7643015.9597
1482,EB,CE 361L,6,2016-09-26 14:00:00,2016-09-26 15:50:00,679227.356364,7643015.9597
1490,EB,CE 443,20,2016-09-26 12:00:00,2016-09-26 13:50:00,679227.356364,7643015.9597
1491,EB,CE 543,4,2016-09-26 12:00:00,2016-09-26 13:50:00,679227.356364,7643015.9597
1492,EB,CE 417,17,2016-09-26 14:00:00,2016-09-26 15:50:00,679227.356364,7643015.9597
1493,EB,CE 517,13,2016-09-26 14:00:00,2016-09-26 15:50:00,679227.356364,7643015.9597
1494,EB,CE 481,22,2016-09-26 16:00:00,2016-09-26 17:50:00,679227.356364,7643015.9597
1495,EB,CE 581,9,2016-09-26 16:00:00,2016-09-26 17:50:00,679227.356364,7643015.9597
1504,EB,CE 463,2,2016-09-26 10:00:00,2016-09-26 11:50:00,679227.356364,7643015.9597
1505,EB,CE 563,4,2016-09-26 10:00:00,2016-09-26 11:50:00,679227.356364,7643015.9597
1506,EB,ME 350,39,2016-09-26 16:40:00,2016-09-26 18:30:00,679227.356364,7643015.9597
1518,EB,ME 410,16,2016-09-26 16:40:00,2016-09-26 18:30:00,679227.356364,7643015.9597
1519,EB,ME 510,5,2016-09-26 16:40:00,2016-09-26 18:30:00,679227.356364,7643015.9597
1520,EB,ME 120,34,2016-09-26 10:15:00,2016-09-26 12:05:00,679227.356364,7643015.9597
1521,EB,ME 120,34,2016-09-26 14:00:00,2016-09-26 15:50:00,679227.356364,7643015.9597
1527,EB,ME 422,19,2016-09-26 14:00:00,2016-09-26 15:50:00,679227.356364,7643015.9597
1528,EB,ME 522,4,2016-09-26 14:00:00,2016-09-26 15:50:00,679227.356364,7643015.9597
1530,EB,ME 213L,7,2016-09-26 09:00:00,2016-09-26 11:50:00,679227.356364,7643015.9597
1531,EB,ME 213L,14,2016-09-26 14:00:00,2016-09-26 16:50:00,679227.356364,7643015.9597
1537,EB,ME 530,6,2016-09-26 16:40:00,2016-09-26 18:30:00,679227.356364,7643015.9597
1538,EB,ME 630,1,2016-09-26 16:40:00,2016-09-26 18:30:00,679227.356364,7643015.9597
1553,EB,CE 341,37,2016-09-26 08:00:00,2016-09-26 09:50:00,679227.356364,7643015.9597
1554,EB,FIN 218,41,2016-09-26 11:30:00,2016-09-26 12:35:00,679227.356364,7643015.9597
1555,EB,CS 201,56,2016-09-26 14:00:00,2016-09-26 15:50:00,679227.356364,7643015.9597
1556,EB,CE 324,47,2016-09-26 16:40:00,2016-09-26 18:30:00,679227.356364,7643015.9597
1575,EB,MTH 253,30,2016-09-26 09:00:00,2016-09-26 10:05:00,679227.356364,7643015.9597
1576,EB,PS 318U,42,2016-09-26 12:45:00,2016-09-26 13:50:00,679227.356364,7643015.9597
1577,EB,CE 474,22,2016-09-26 14:00:00,2016-09-26 15:50:00,679227.356364,7643015.9597
1578,EB,CE 574,11,2016-09-26 14:00:00,2016-09-26 15:50:00,679227.356364,7643015.9597
1579,EB,ISQA 439,38,2016-09-26 17:30:00,2016-09-26 21:10:00,679227.356364,7643015.9597
1580,EB,ISQA 539S,2,2016-09-26 17:30:00,2016-09-26 21:10:00,679227.356364,7643015.9597
1591,EB,LING 111,18,2016-09-26 09:00:00,2016-09-26 11:20:00,679227.356364,7643015.9597
1592,EB,LING 104,12,2016-09-26 14:00:00,2016-09-26 15:45:00,679227.356364,7643015.9597
1606,FAB,ANTH 399,14,2016-09-26 09:00:00,2016-09-26 10:05:00,679576.3524409999,7643163.52598
1607,FAB,CE 111,47,2016-09-26 10:15:00,2016-09-26 11:20:00,679576.3524409999,7643163.52598
1608,FAB,PHE 365,20,2016-09-26 11:30:00,2016-09-26 12:35:00,679576.3524409999,7643163.52598
1609,FAB,PHL 301U,40,2016-09-26 12:45:00,2016-09-26 13:50:00,679576.3524409999,7643163.52598
1610,FAB,COUN 504,10,2016-09-26 14:30:00,2016-09-26 15:50:00,679576.3524409999,7643163.52598
1611,FAB,ECE 420,24,2016-09-26 16:40:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1612,FAB,ECE 520,13,2016-09-26 16:40:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1628,FAB,ECE 478,13,2016-09-26 12:00:00,2016-09-26 13:50:00,679576.3524409999,7643163.52598
1629,FAB,ECE 578,16,2016-09-26 12:00:00,2016-09-26 13:50:00,679576.3524409999,7643163.52598
1630,FAB,EE 510,6,2016-09-26 16:40:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1631,FAB,CS 162,30,2016-09-26 18:40:00,2016-09-26 20:30:00,679576.3524409999,7643163.52598
1643,FAB,CHN 101,16,2016-09-26 10:00:00,2016-09-26 11:30:00,679576.3524409999,7643163.52598
1644,FAB,BST 467U,45,2016-09-26 14:00:00,2016-09-26 15:50:00,679576.3524409999,7643163.52598
1645,FAB,ED 509,20,2016-09-26 16:30:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1657,FAB,MTH 095,41,2016-09-26 08:15:00,2016-09-26 10:05:00,679576.3524409999,7643163.52598
1658,FAB,FR 101,27,2016-09-26 10:15:00,2016-09-26 11:20:00,679576.3524409999,7643163.52598
1659,FAB,FR 101,26,2016-09-26 11:30:00,2016-09-26 12:35:00,679576.3524409999,7643163.52598
1660,FAB,MTH 105,29,2016-09-26 12:45:00,2016-09-26 13:50:00,679576.3524409999,7643163.52598
1661,FAB,LING 144,17,2016-09-26 14:00:00,2016-09-26 15:05:00,679576.3524409999,7643163.52598
1662,FAB,COUN 593,11,2016-09-26 16:00:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1675,FAB,COUN 509,6,2016-09-26 09:00:00,2016-09-26 14:20:00,679576.3524409999,7643163.52598
1676,FAB,COUN 509,5,2016-09-26 09:00:00,2016-09-26 14:20:00,679576.3524409999,7643163.52598
1699,FAB,ED 540,19,2016-09-26 09:30:00,2016-09-26 12:20:00,679576.3524409999,7643163.52598
1700,FAB,COUN 587,24,2016-09-26 16:00:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1734,FAB,ED 585,18,2016-09-26 08:30:00,2016-09-26 12:00:00,679576.3524409999,7643163.52598
1735,FAB,SPED 522,21,2016-09-26 12:00:00,2016-09-26 15:40:00,679576.3524409999,7643163.52598
1736,FAB,SPED 510,25,2016-09-26 16:00:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1737,FAB,SPED 509,25,2016-09-26 18:40:00,2016-09-26 21:10:00,679576.3524409999,7643163.52598
1770,FAB,LIB 428,21,2016-09-26 12:00:00,2016-09-26 14:30:00,679576.3524409999,7643163.52598
1771,FAB,LIB 528,3,2016-09-26 12:00:00,2016-09-26 14:30:00,679576.3524409999,7643163.52598
1772,FAB,SPED 597,11,2016-09-26 16:00:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1773,FAB,SPED 506,11,2016-09-26 18:40:00,2016-09-26 21:10:00,679576.3524409999,7643163.52598
1785,FAB,ARCH 360,41,2016-09-26 08:15:00,2016-09-26 10:05:00,679576.3524409999,7643163.52598
1786,FAB,BA 495,33,2016-09-26 10:30:00,2016-09-26 13:20:00,679576.3524409999,7643163.52598
1787,FAB,HST 343U,20,2016-09-26 14:00:00,2016-09-26 15:50:00,679576.3524409999,7643163.52598
1788,FAB,WS 343U,7,2016-09-26 14:00:00,2016-09-26 15:50:00,679576.3524409999,7643163.52598
1789,FAB,PAP 511,19,2016-09-26 16:00:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1807,FAB,PS 371,19,2016-09-26 09:00:00,2016-09-26 10:05:00,679576.3524409999,7643163.52598
1808,FAB,PS 421,39,2016-09-26 10:15:00,2016-09-26 11:20:00,679576.3524409999,7643163.52598
1809,FAB,PS 521,4,2016-09-26 10:15:00,2016-09-26 11:20:00,679576.3524409999,7643163.52598
1810,FAB,PS 373,20,2016-09-26 11:30:00,2016-09-26 12:35:00,679576.3524409999,7643163.52598
1811,FAB,FIN 465,38,2016-09-26 12:45:00,2016-09-26 13:50:00,679576.3524409999,7643163.52598
1812,FAB,LING 232,25,2016-09-26 14:00:00,2016-09-26 15:50:00,679576.3524409999,7643163.52598
1813,FAB,ECE 421,13,2016-09-26 16:40:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1814,FAB,ECE 521,22,2016-09-26 16:40:00,2016-09-26 18:30:00,679576.3524409999,7643163.52598
1815,FAB,ECE 451,4,2016-09-26 18:40:00,2016-09-26 20:30:00,679576.3524409999,7643163.52598
1816,FAB,ECE 551,14,2016-09-26 18:40:00,2016-09-26 20:30:00,679576.3524409999,7643163.52598
1827,FAB,LING 418,11,2016-09-26 08:15:00,2016-09-26 10:05:00,679576.3524409999,7643163.52598
1828,FAB,LING 518,2,2016-09-26 08:15:00,2016-09-26 10:05:00,679576.3524409999,7643163.52598
1829,FAB,CS 399,14,2016-09-26 10:15:00,2016-09-26 11:20:00,679576.3524409999,7643163.52598
1830,FAB,CS 399,14,2016-09-26 11:30:00,2016-09-26 12:35:00,679576.3524409999,7643163.52598
1831,FAB,CS 399,14,2016-09-26 12:45:00,2016-09-26 13:50:00,679576.3524409999,7643163.52598
1832,FAB,ESM 416,15,2016-09-26 14:00:00,2016-09-26 15:50:00,679576.3524409999,7643163.52598
1833,FAB,ESM 516,13,2016-09-26 14:00:00,2016-09-26 15:50:00,679576.3524409999,7643163.52598
1834,FAB,ETM 561,5,2016-09-26 17:30:00,2016-09-26 21:10:00,679576.3524409999,7643163.52598
1853,FAB,LING 144,18,2016-09-26 12:45:00,2016-09-26 13:50:00,679576.3524409999,7643163.52598
1854,FAB,LING 144,16,2016-09-26 14:00:00,2016-09-26 15:05:00,679576.3524409999,7643163.52598
1859,FAB,ECE 221L,16,2016-09-26 13:00:00,2016-09-26 15:50:00,679576.3524409999,7643163.52598
1860,FAB,ECE 321L,28,2016-09-26 18:40:00,2016-09-26 21:30:00,679576.3524409999,7643163.52598
1872,FAB,ECE 331L,18,2016-09-26 09:00:00,2016-09-26 11:50:00,679576.3524409999,7643163.52598
1886,FAB,CS 410,13,2016-09-26 11:30:00,2016-09-26 13:20:00,679576.3524409999,7643163.52598
1887,FAB,CS 510,17,2016-09-26 11:30:00,2016-09-26 13:20:00,679576.3524409999,7643163.52598
1896,FAB,CS 162L,7,2016-09-26 10:00:00,2016-09-26 11:50:00,679576.3524409999,7643163.52598
1897,FAB,CS 163L,20,2016-09-26 12:00:00,2016-09-26 13:50:00,679576.3524409999,7643163.52598
1904,HOFF,EC 314U,138,2016-09-26 08:15:00,2016-09-26 10:05:00,680508.861028,7641292.417939999
1905,HOFF,BI 341,126,2016-09-26 10:15:00,2016-09-26 11:20:00,680508.861028,7641292.417939999
1906,HOFF,CS 447P,21,2016-09-26 14:00:00,2016-09-26 15:50:00,680508.861028,7641292.417939999
1907,HOFF,CS 547,7,2016-09-26 14:00:00,2016-09-26 15:50:00,680508.861028,7641292.417939999
1908,HOFF,PH 211,163,2016-09-26 16:40:00,2016-09-26 18:30:00,680508.861028,7641292.417939999
1909,HOFF,BI 211,193,2016-09-26 18:40:00,2016-09-26 20:30:00,680508.861028,7641292.417939999
1916,LH,TA 102,23,2016-09-26 12:00:00,2016-09-26 13:50:00,680747.560767,7642413.45873
1920,LH,TA 111,31,2016-09-26 12:45:00,2016-09-26 13:35:00,680747.560767,7642413.45873
1921,LH,TA 322U,40,2016-09-26 14:00:00,2016-09-26 15:50:00,680747.560767,7642413.45873
1926,LH,MUS 191,17,2016-09-26 09:00:00,2016-09-26 09:50:00,680747.560767,7642413.45873
1927,LH,MUS 191,14,2016-09-26 10:15:00,2016-09-26 11:05:00,680747.560767,7642413.45873
1928,LH,MUS 291,24,2016-09-26 11:30:00,2016-09-26 12:20:00,680747.560767,7642413.45873
1929,LH,MUS 291,11,2016-09-26 12:45:00,2016-09-26 13:50:00,680747.560767,7642413.45873
1933,LH,MUS 421,10,2016-09-26 11:15:00,2016-09-26 12:30:00,680747.560767,7642413.45873
1948,LH,MUS 211,28,2016-09-26 10:15:00,2016-09-26 11:05:00,680747.560767,7642413.45873
1949,LH,MUS 424,7,2016-09-26 11:30:00,2016-09-26 12:20:00,680747.560767,7642413.45873
1950,LH,MUS 524,3,2016-09-26 11:30:00,2016-09-26 12:20:00,680747.560767,7642413.45873
1951,LH,MUS 240,11,2016-09-26 12:30:00,2016-09-26 13:45:00,680747.560767,7642413.45873
1958,LH,MUS 211,24,2016-09-26 10:15:00,2016-09-26 11:05:00,680747.560767,7642413.45873
1959,LH,MUS 111,17,2016-09-26 11:30:00,2016-09-26 12:20:00,680747.560767,7642413.45873
1960,LH,MUS 512,9,2016-09-26 12:30:00,2016-09-26 13:45:00,680747.560767,7642413.45873
1961,LH,MUS 511,17,2016-09-26 16:30:00,2016-09-26 18:50:00,680747.560767,7642413.45873
1964,LH,MUS 311,25,2016-09-26 10:15:00,2016-09-26 11:05:00,680747.560767,7642413.45873
1965,LH,MUS 111,16,2016-09-26 11:30:00,2016-09-26 12:20:00,680747.560767,7642413.45873
1966,LH,MUS 481,3,2016-09-26 14:00:00,2016-09-26 15:20:00,680747.560767,7642413.45873
1967,LH,MUS 581,3,2016-09-26 14:00:00,2016-09-26 15:20:00,680747.560767,7642413.45873
1975,LH,JPN 201,10,2016-09-26 09:00:00,2016-09-26 09:50:00,680747.560767,7642413.45873
1976,LH,HON 403,27,2016-09-26 10:00:00,2016-09-26 11:50:00,680747.560767,7642413.45873
1977,LH,PORT 101,11,2016-09-26 12:45:00,2016-09-26 13:50:00,680747.560767,7642413.45873
1978,LH,MTH 111,36,2016-09-26 14:00:00,2016-09-26 15:05:00,680747.560767,7642413.45873
1993,LH,ENG 300,12,2016-09-26 09:00:00,2016-09-26 10:05:00,680747.560767,7642413.45873
1994,LH,LING 435,15,2016-09-26 11:30:00,2016-09-26 12:35:00,680747.560767,7642413.45873
1996,LH,PSY 321,28,2016-09-26 12:45:00,2016-09-26 13:50:00,680747.560767,7642413.45873
1997,LH,UPA 335,13,2016-09-26 14:00:00,2016-09-26 15:50:00,680747.560767,7642413.45873
1998,LH,USP 301,28,2016-09-26 16:00:00,2016-09-26 17:50:00,680747.560767,7642413.45873
2005,LH,PE 105,28,2016-09-26 08:00:00,2016-09-26 08:50:00,680747.560767,7642413.45873
2006,LH,PE 105,29,2016-09-26 09:00:00,2016-09-26 09:50:00,680747.560767,7642413.45873
2007,LH,D 196,12,2016-09-26 10:00:00,2016-09-26 11:50:00,680747.560767,7642413.45873
2008,LH,D 396,7,2016-09-26 10:00:00,2016-09-26 11:50:00,680747.560767,7642413.45873
2009,LH,TA 144,16,2016-09-26 14:00:00,2016-09-26 15:50:00,680747.560767,7642413.45873
2010,LH,PE 136,16,2016-09-26 19:00:00,2016-09-26 20:40:00,680747.560767,7642413.45873
2020,LH,CS 105,10,2016-09-26 08:15:00,2016-09-26 10:05:00,680747.560767,7642413.45873
2021,LH,BST 203,26,2016-09-26 10:15:00,2016-09-26 11:20:00,680747.560767,7642413.45873
2022,LH,COMM 410,24,2016-09-26 14:00:00,2016-09-26 15:50:00,680747.560767,7642413.45873
2023,LH,COMM 510,4,2016-09-26 14:00:00,2016-09-26 15:50:00,680747.560767,7642413.45873
2024,LH,CFS 312U,42,2016-09-26 16:40:00,2016-09-26 18:30:00,680747.560767,7642413.45873
2033,LH,MUED 333,13,2016-09-26 11:15:00,2016-09-26 12:30:00,680747.560767,7642413.45873
2034,LH,MUS 196,4,2016-09-26 16:00:00,2016-09-26 16:50:00,680747.560767,7642413.45873
2035,LH,MUS 396,3,2016-09-26 16:00:00,2016-09-26 16:50:00,680747.560767,7642413.45873
2036,LH,MUS 596,2,2016-09-26 16:00:00,2016-09-26 16:50:00,680747.560767,7642413.45873
2044,LH,TA 121,19,2016-09-26 10:00:00,2016-09-26 11:50:00,680747.560767,7642413.45873
2047,LH,MUS 111,19,2016-09-26 11:30:00,2016-09-26 12:20:00,680747.560767,7642413.45873
2048,LH,MUS 101,17,2016-09-26 12:45:00,2016-09-26 13:50:00,680747.560767,7642413.45873
2051,LH,MUS 187,6,2016-09-26 09:00:00,2016-09-26 09:50:00,680747.560767,7642413.45873
2053,LH,MUS 474,13,2016-09-26 10:15:00,2016-09-26 11:05:00,680747.560767,7642413.45873
2054,LH,MUS 574,1,2016-09-26 10:15:00,2016-09-26 11:05:00,680747.560767,7642413.45873
2057,LH,TA 347,5,2016-09-26 19:00:00,2016-09-26 22:00:00,680747.560767,7642413.45873
2060,LH,FILM 131,49,2016-09-26 12:00:00,2016-09-26 13:50:00,680747.560767,7642413.45873
2061,LH,FILM 370U,23,2016-09-26 14:00:00,2016-09-26 15:50:00,680747.560767,7642413.45873
2062,LH,FILM 381,30,2016-09-26 16:00:00,2016-09-26 17:50:00,680747.560767,7642413.45873
2063,LH,FILM 382,20,2016-09-26 18:00:00,2016-09-26 21:35:00,680747.560767,7642413.45873
2072,LH,MUED 484,17,2016-09-26 08:00:00,2016-09-26 08:50:00,680747.560767,7642413.45873
2073,LH,MUED 584,2,2016-09-26 08:00:00,2016-09-26 08:50:00,680747.560767,7642413.45873
2074,LH,MUS 481,12,2016-09-26 10:00:00,2016-09-26 11:30:00,680747.560767,7642413.45873
2075,LH,MUS 581,9,2016-09-26 10:00:00,2016-09-26 11:30:00,680747.560767,7642413.45873
2076,LH,MUS 204,12,2016-09-26 12:45:00,2016-09-26 13:50:00,680747.560767,7642413.45873
2092,LH,SOC 397,57,2016-09-26 08:15:00,2016-09-26 10:05:00,680747.560767,7642413.45873
2093,LH,HST 362U,20,2016-09-26 10:15:00,2016-09-26 11:20:00,680747.560767,7642413.45873
2094,LH,INTL 362U,30,2016-09-26 10:15:00,2016-09-26 11:20:00,680747.560767,7642413.45873
2095,LH,HST 201,48,2016-09-26 11:30:00,2016-09-26 12:35:00,680747.560767,7642413.45873
2096,LH,BA 101,62,2016-09-26 14:00:00,2016-09-26 15:50:00,680747.560767,7642413.45873
2097,LH,BA 303,41,2016-09-26 17:40:00,2016-09-26 21:20:00,680747.560767,7642413.45873
2107,LH,MUS 194,6,2016-09-26 13:00:00,2016-09-26 14:50:00,680747.560767,7642413.45873
2108,LH,MUS 394,5,2016-09-26 13:00:00,2016-09-26 14:50:00,680747.560767,7642413.45873
2109,LH,MUS 594,1,2016-09-26 13:00:00,2016-09-26 14:50:00,680747.560767,7642413.45873
2112,LH,PE 161,11,2016-09-26 17:00:00,2016-09-26 17:50:00,680747.560767,7642413.45873
2113,LH,PE 164,10,2016-09-26 18:00:00,2016-09-26 18:50:00,680747.560767,7642413.45873
2121,LH,MUED 335,18,2016-09-26 09:00:00,2016-09-26 10:05:00,680747.560767,7642413.45873
2122,LH,MUS 198,13,2016-09-26 14:00:00,2016-09-26 14:50:00,680747.560767,7642413.45873
2123,LH,MUS 398,6,2016-09-26 14:00:00,2016-09-26 14:50:00,680747.560767,7642413.45873
2124,LH,MUS 598,1,2016-09-26 14:00:00,2016-09-26 14:50:00,680747.560767,7642413.45873
2125,LH,MUS 195,22,2016-09-26 15:15:00,2016-09-26 16:45:00,680747.560767,7642413.45873
2126,LH,MUS 395,2,2016-09-26 15:15:00,2016-09-26 16:45:00,680747.560767,7642413.45873
2127,LH,MUS 595,2,2016-09-26 15:15:00,2016-09-26 16:45:00,680747.560767,7642413.45873
2128,LH,MUS 194,1,2016-09-26 17:15:00,2016-09-26 19:15:00,680747.560767,7642413.45873
2129,LH,MUS 394,1,2016-09-26 17:15:00,2016-09-26 19:15:00,680747.560767,7642413.45873
2130,LH,MUS 594,1,2016-09-26 17:15:00,2016-09-26 19:15:00,680747.560767,7642413.45873
2143,LH,MUS 198,8,2016-09-26 15:00:00,2016-09-26 15:50:00,680747.560767,7642413.45873
2144,LH,MUS 398,2,2016-09-26 15:00:00,2016-09-26 15:50:00,680747.560767,7642413.45873
2146,LH,MUS 198,9,2016-09-26 16:00:00,2016-09-26 17:15:00,680747.560767,7642413.45873
2147,LH,MUS 398,7,2016-09-26 16:00:00,2016-09-26 17:15:00,680747.560767,7642413.45873
2164,NH,LING 131,19,2016-09-26 09:00:00,2016-09-26 11:20:00,680027.8416159999,7642114.5862
2165,NH,PHL 314U,26,2016-09-26 14:00:00,2016-09-26 15:50:00,680027.8416159999,7642114.5862
2166,NH,PSY 410,48,2016-09-26 16:40:00,2016-09-26 18:30:00,680027.8416159999,7642114.5862
2167,NH,PHL 313U,42,2016-09-26 18:40:00,2016-09-26 20:30:00,680027.8416159999,7642114.5862
2187,NH,FILM 374,19,2016-09-26 18:00:00,2016-09-26 21:35:00,680027.8416159999,7642114.5862
2216,NH,BA 302,42,2016-09-26 08:00:00,2016-09-26 09:50:00,680027.8416159999,7642114.5862
2217,NH,ENG 306U,35,2016-09-26 12:45:00,2016-09-26 13:50:00,680027.8416159999,7642114.5862
2218,NH,INTL 390,32,2016-09-26 14:00:00,2016-09-26 15:50:00,680027.8416159999,7642114.5862
2219,NH,HSMP 686,1,2016-09-26 16:00:00,2016-09-26 18:30:00,680027.8416159999,7642114.5862
2220,NH,PAH 586,4,2016-09-26 16:00:00,2016-09-26 18:30:00,680027.8416159999,7642114.5862
2240,NH,IT 201,23,2016-09-26 10:15:00,2016-09-26 11:20:00,680027.8416159999,7642114.5862
2241,NH,CCJ 435,13,2016-09-26 11:30:00,2016-09-26 12:35:00,680027.8416159999,7642114.5862
2242,NH,IT 101,26,2016-09-26 12:45:00,2016-09-26 13:50:00,680027.8416159999,7642114.5862
2243,NH,BA 325,50,2016-09-26 17:30:00,2016-09-26 19:20:00,680027.8416159999,7642114.5862
2256,NH,MIM 505,12,2016-09-26 09:00:00,2016-09-26 10:05:00,680027.8416159999,7642114.5862
2257,NH,WR 463,1,2016-09-26 16:40:00,2016-09-26 18:30:00,680027.8416159999,7642114.5862
2258,NH,WR 563,12,2016-09-26 16:40:00,2016-09-26 18:30:00,680027.8416159999,7642114.5862
2259,NH,ENG 500,10,2016-09-26 18:40:00,2016-09-26 20:30:00,680027.8416159999,7642114.5862
2284,NH,MGMT 514,35,2016-09-26 12:15:00,2016-09-26 16:05:00,680027.8416159999,7642114.5862
2287,NH,ASL 101,28,2016-09-26 08:00:00,2016-09-26 09:50:00,680027.8416159999,7642114.5862
2288,NH,WR 213,18,2016-09-26 10:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2289,NH,MGMT 471,46,2016-09-26 17:40:00,2016-09-26 20:20:00,680027.8416159999,7642114.5862
2297,NH,ACTG 512,28,2016-09-26 12:15:00,2016-09-26 16:05:00,680027.8416159999,7642114.5862
2305,NH,LING 121,13,2016-09-26 09:00:00,2016-09-26 11:20:00,680027.8416159999,7642114.5862
2306,NH,PHL 331U,16,2016-09-26 11:30:00,2016-09-26 12:45:00,680027.8416159999,7642114.5862
2307,NH,KOR 201,19,2016-09-26 13:00:00,2016-09-26 13:50:00,680027.8416159999,7642114.5862
2308,NH,PHL 201,42,2016-09-26 14:00:00,2016-09-26 15:50:00,680027.8416159999,7642114.5862
2309,NH,PSY 204,60,2016-09-26 17:30:00,2016-09-26 21:10:00,680027.8416159999,7642114.5862
2330,NH,PH 059,6,2016-09-26 12:00:00,2016-09-26 15:00:00,680027.8416159999,7642114.5862
2331,NH,ELP 528,13,2016-09-26 16:00:00,2016-09-26 18:30:00,680027.8416159999,7642114.5862
2350,NH,ASL 201,23,2016-09-26 08:00:00,2016-09-26 09:50:00,680027.8416159999,7642114.5862
2351,NH,PHE 370,14,2016-09-26 10:15:00,2016-09-26 11:20:00,680027.8416159999,7642114.5862
2352,NH,ENG 372U,18,2016-09-26 11:30:00,2016-09-26 12:35:00,680027.8416159999,7642114.5862
2353,NH,WS 372U,6,2016-09-26 11:30:00,2016-09-26 12:35:00,680027.8416159999,7642114.5862
2354,NH,PHE 340,12,2016-09-26 12:45:00,2016-09-26 13:50:00,680027.8416159999,7642114.5862
2355,NH,ENG 343U,30,2016-09-26 14:00:00,2016-09-26 15:50:00,680027.8416159999,7642114.5862
2356,NH,SW 555,32,2016-09-26 17:30:00,2016-09-26 20:20:00,680027.8416159999,7642114.5862
2372,NH,ART 119,25,2016-09-26 09:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2373,NH,ART 120,25,2016-09-26 12:00:00,2016-09-26 14:50:00,680027.8416159999,7642114.5862
2374,NH,ART 345,19,2016-09-26 15:00:00,2016-09-26 17:50:00,680027.8416159999,7642114.5862
2375,NH,ART 119,24,2016-09-26 18:00:00,2016-09-26 20:50:00,680027.8416159999,7642114.5862
2380,NH,ART 299,2,2016-09-26 09:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2381,NH,ART 399,11,2016-09-26 09:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2382,NH,ART 117,20,2016-09-26 14:00:00,2016-09-26 16:50:00,680027.8416159999,7642114.5862
2383,NH,ART 117,21,2016-09-26 18:40:00,2016-09-26 21:20:00,680027.8416159999,7642114.5862
2392,NH,WR 460,2,2016-09-26 10:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2393,NH,WR 560,13,2016-09-26 10:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2394,NH,SPHR 509,3,2016-09-26 14:00:00,2016-09-26 15:00:00,680027.8416159999,7642114.5862
2401,NH,ART 270,12,2016-09-26 14:00:00,2016-09-26 16:50:00,680027.8416159999,7642114.5862
2402,NH,ART 271,8,2016-09-26 18:40:00,2016-09-26 21:20:00,680027.8416159999,7642114.5862
2405,NH,ART 230,15,2016-09-26 09:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2406,NH,ART 230,21,2016-09-26 14:00:00,2016-09-26 16:50:00,680027.8416159999,7642114.5862
2410,NH,ART 131,25,2016-09-26 09:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2411,NH,ART 131,24,2016-09-26 14:00:00,2016-09-26 16:50:00,680027.8416159999,7642114.5862
2412,NH,ART 131,20,2016-09-26 18:40:00,2016-09-26 21:20:00,680027.8416159999,7642114.5862
2415,NH,ART 462,4,2016-09-26 09:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2420,NH,ART 281,16,2016-09-26 09:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2421,NH,ART 410,9,2016-09-26 14:00:00,2016-09-26 16:50:00,680027.8416159999,7642114.5862
2422,NH,ART 510,2,2016-09-26 14:00:00,2016-09-26 16:50:00,680027.8416159999,7642114.5862
2428,NH,MTH 211,32,2016-09-26 09:00:00,2016-09-26 10:05:00,680027.8416159999,7642114.5862
2429,NH,SPAN 341,10,2016-09-26 10:15:00,2016-09-26 11:20:00,680027.8416159999,7642114.5862
2430,NH,MTH 346,25,2016-09-26 12:45:00,2016-09-26 13:50:00,680027.8416159999,7642114.5862
2431,NH,LING 432,11,2016-09-26 14:00:00,2016-09-26 15:50:00,680027.8416159999,7642114.5862
2432,NH,LING 532,5,2016-09-26 14:00:00,2016-09-26 15:50:00,680027.8416159999,7642114.5862
2433,NH,MTH 211,27,2016-09-26 16:40:00,2016-09-26 18:30:00,680027.8416159999,7642114.5862
2451,NH,COMM 200,45,2016-09-26 08:00:00,2016-09-26 09:50:00,680027.8416159999,7642114.5862
2452,NH,SPHR 370,39,2016-09-26 10:00:00,2016-09-26 11:50:00,680027.8416159999,7642114.5862
2453,NH,SPHR 410,23,2016-09-26 12:00:00,2016-09-26 13:50:00,680027.8416159999,7642114.5862
2455,NH,PSY 410,55,2016-09-26 16:40:00,2016-09-26 18:30:00,680027.8416159999,7642114.5862
